"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"CONNOR MCDAVID","","C","25","L","EDM","80","44","79","123","1.54","123","126","9","44","03:43","80.5","22:04","314","28","45","4","$13M","$12.5M","$12.5M"
"JOHNNY GAUDREAU","","L","28","L","CBJ","82","40","75","115","1.40","115","115","9","25","02:57","61.9","18:35","262","64","26","6","$6.75M","$6.75M","$6.75M"
"JONATHAN HUBERDEAU","","L","29","L","FLA","80","30","85","115","1.44","115","118","7","38","03:41","72.5","19:26","222","35","54","1","$5.3M","$5.9M","$5.9M"
"LEON DRAISAITL","","L","26","L","EDM","80","55","55","110","1.38","110","113","11","41","03:50","83.4","22:21","278","17","40","3","$8M","$8.5M","$8.5M"
"KIRILL KAPRIZOV","","L","25","L","MIN","81","47","61","108","1.33","108","109","5","31","03:18","63.5","19:06","289","27","34","4","$5M","$9M","$9M"
"STEVEN STAMKOS","","C","32","R","T.B","81","42","64","106","1.31","106","107","11","36","03:43","70.9","18:29","241","23","36","2","$7.5M","$8.5M","$8.5M"
"AUSTON MATTHEWS","","C","24","L","TOR","73","60","46","106","1.45","106","119","10","29","03:06","73.1","20:37","348","20","18","2","$10.47M","$11.64M","$11.64M"
"MATTHEW TKACHUK","","R","24","L","CGY","82","42","62","104","1.27","104","104","6","29","02:55","61.0","17:54","253","57","68","0","$9M","$7M","$7M"
"J.T. MILLER","","C","29","L","VAN","80","32","67","99","1.24","99","101","6","38","03:19","68.4","21:04","206","14","47","1","$6M","$5.25M","$5.25M"
"MITCHELL MARNER","","R","25","R","TOR","72","35","62","97","1.35","97","110","5","25","03:06","70.9","20:53","224","23","16","3","$10.36M","$10.9M","$10.9M"
"ROMAN JOSI","","D","32","L","NSH","80","23","73","96","1.20","96","98","2","37","03:23","68.8","25:33","281","13","46","6","$10.75M","$9.06M","$9.06M"
"ARTEMI PANARIN","","L","30","R","NYR","75","22","74","96","1.28","96","105","5","37","02:59","72.6","19:13","177","21","18","4","$13M","$11.64M","$11.64M"
"KYLE CONNOR","","L","25","L","WPG","79","47","46","93","1.18","93","97","9","27","03:24","69.0","21:47","317","-1","4","4","$7.5M","$7.14M","$7.14M"
"MIKKO RANTANEN","","R","25","L","COL","75","36","56","92","1.23","92","101","2","35","03:54","72.2","20:58","254","35","56","3","$10M","$9.25M","$9.25M"
"PATRICK KANE","","R","33","L","CHI","78","26","65","91","1.17","91","96","2","31","03:47","76.1","21:49","287","-19","18","1","$6.9M","$10.5M","$10.5M"
"ALEX OVECHKIN","","L","36","R","WSH","77","50","40","90","1.17","90","96","5","29","04:45","93.6","20:34","334","8","18","4","$5M","$9.5M","$9.5M"
"ALEKSANDER BARKOV","","C","26","L","FLA","67","39","49","88","1.31","88","108","5","26","03:29","69.9","20:18","214","36","18","6","$7.75M","$5.9M","$5.9M"
"NATHAN MACKINNON","","C","26","R","COL","65","32","56","88","1.35","88","111","5","27","03:40","68.4","21:04","299","22","42","1","$6.85M","$6.3M","$6.3M"
"NAZEM KADRI","","C","31","L","","71","28","59","87","1.23","187","100","6","29","03:53","67.4","19:15","247","13","71","0","$4M","$4.5M","$4.5M"
"MATT DUCHENE","","R","31","L","NSH","78","43","43","86","1.10","86","90","6","29","03:10","64.2","19:01","228","6","38","4","$10M","$8M","$8M"
"CALE MAKAR","","D","23","R","COL","77","28","58","86","1.12","86","92","6","34","03:50","70.5","25:40","240","48","26","5","$8M","$9M","$9M"
"VICTOR HEDMAN","","D","31","L","T.B","82","20","65","85","1.04","85","85","6","38","03:36","68.8","25:05","218","25","36","3","$8M","$7.88M","$7.88M"
"KEVIN FIALA","","L","25","L","L.A","82","33","52","85","1.04","85","85","7","17","02:42","52.1","17:39","262","23","52","6","$5.1M","$5.1M","$5.1M"
"SIDNEY CROSBY","","C","34","L","PIT","69","31","53","84","1.22","84","100","9","30","03:20","71.2","19:58","208","19","32","3","$9M","$8.7M","$8.7M"
"JAKE GUENTZEL","","L","27","L","PIT","76","40","44","84","1.11","84","91","7","22","03:33","71.7","20:06","264","13","44","2","$7M","$6M","$6M"
"FILIP FORSBERG","","L","27","R","NSH","69","42","42","84","1.22","84","100","8","27","03:09","62.7","18:06","226","12","22","6","$6M","$6M","$6M"
"VLADIMIR TARASENKO","","R","30","L","STL","75","34","48","82","1.09","82","90","9","22","02:40","57.6","16:55","230","7","32","1","$9.5M","$7.5M","$7.5M"
